id,user,pct,practice,created_at,approved
2333,2815,00C,,2018-11-02 09:23:07,1
2331,2813,,P81770,2018-11-01 13:00:49,1
2330,2569,,J82102,2018-11-01 11:23:36,1
2329,2783,,N81087,2018-10-31 16:17:25,1
2327,2809,,J83029,2018-10-31 09:39:51,1
2326,2809,,J83055,2018-10-31 09:39:31,1
2325,2809,,J83041,2018-10-31 09:37:53,1
2324,2809,,J83006,2018-10-31 09:37:13,1
2322,2807,,P84019,2018-10-31 00:00:22,1
2321,2806,,N81123,2018-10-30 21:16:28,1
2319,2803,,L81016,2018-10-29 20:20:10,1
2316,2800,06T,,2018-10-29 08:32:36,1
2313,2798,,C81059,2018-10-27 19:08:45,1
2312,2797,,A87022,2018-10-26 18:13:43,1
2311,379,,L84056,2018-10-26 17:23:46,1
2306,2791,,P81687,2018-10-25 13:07:00,1
2303,2788,,M81005,2018-10-25 10:42:11,1
2302,2788,06D,,2018-10-25 10:40:49,1
2301,2787,,P81169,2018-10-25 09:24:01,1
2300,2785,,P81701,2018-10-25 07:20:56,1
2299,2784,,J83049,2018-10-24 14:43:24,1
2298,2783,,N81087,2018-10-24 12:04:03,1
2297,2782,,C84047,2018-10-24 11:35:10,1
2295,2781,,P81044,2018-10-24 10:01:37,1
2293,2779,,D82003,2018-10-24 07:44:47,1
2292,2778,,P81055,2018-10-24 07:23:11,1
2291,2777,,P81119,2018-10-23 15:42:09,1
2289,2092,,L85021,2018-10-23 11:37:59,1
2286,2773,,P81015,2018-10-22 11:22:28,1
2284,584,,B86044,2018-10-21 13:31:35,1
2282,572,,G82055,2018-10-19 15:56:18,1
2281,572,,G82777,2018-10-19 15:52:37,1
2280,2770,,A81026,2018-10-19 14:14:05,1
2279,2769,,B81653,2018-10-19 14:02:22,1
2278,1413,,E85124,2018-10-19 11:25:54,1
2277,1697,,C88030,2018-10-19 11:00:23,1
2276,2768,,L84044,2018-10-19 10:40:01,1
2275,2767,15E,,2018-10-19 10:07:01,1
2274,2766,11E,,2018-10-19 08:46:55,1
2273,2765,07J,,2018-10-19 08:46:06,1
2272,2766,99Q,,2018-10-19 08:43:48,1
2271,2766,99P,,2018-10-19 08:41:51,1
2270,2765,,M85139,2018-10-19 08:39:57,1
2269,2764,,A81052,2018-10-19 08:36:41,1
2268,2764,,A81045,2018-10-19 08:35:45,1
2267,2764,,A81054,2018-10-19 08:32:46,1
2263,2004,,L83074,2018-10-18 15:58:44,1
2262,2004,,L83006,2018-10-18 15:57:35,1
2261,2760,,P81210,2018-10-18 14:31:32,1
2260,2633,,G85724,2018-10-18 14:14:57,1
2259,2633,99P,,2018-10-18 14:14:20,1
2258,630,,C88655,2018-10-18 13:26:09,1
2255,2755,,C88079,2018-10-17 19:59:33,1
2254,2754,,L81037,2018-10-17 18:30:24,1
2253,2753,,C88079,2018-10-17 16:00:21,1
2251,2751,,E85124,2018-10-17 12:46:57,1
2249,2749,99M,,2018-10-16 13:54:08,1
2247,2746,,M82012,2018-10-16 05:49:01,1
2246,2745,,D81057,2018-10-15 21:58:29,1
2238,2741,,M82604,2018-10-14 12:17:52,1
2234,2738,,C81075,2018-10-12 13:14:17,1
2232,2736,,N81019,2018-10-12 08:37:57,1
2231,2735,,L83086,2018-10-12 08:00:57,1
2229,2701,,J82210,2018-10-11 13:57:46,1
2227,1459,04M,,2018-10-11 10:27:22,1
2226,2734,,M83056,2018-10-11 07:13:54,1
2225,1194,,K82008,2018-10-10 16:19:14,1
2223,2730,,L82030,2018-10-10 10:28:35,1
2221,2728,12F,,2018-10-10 05:47:24,1
2220,2727,,J82066,2018-10-09 20:31:45,1
2217,2723,,C88033,2018-10-09 13:49:23,1
2215,2721,,F84093,2018-10-09 07:51:22,1
2212,2718,,K84050,2018-10-08 20:06:03,1
2210,2716,,C81052,2018-10-08 12:10:38,1
2209,2715,09L,,2018-10-08 10:24:46,1
2208,2714,05H,,2018-10-08 10:06:58,1
2207,2714,05R,,2018-10-08 10:05:18,1
2206,2712,11M,,2018-10-07 20:49:44,1
2201,2707,,A83046,2018-10-05 14:49:33,1
2200,2706,,G81680,2018-10-05 14:33:22,1
2198,2704,,B82026,2018-10-05 11:38:28,1
2195,2701,10V,,2018-10-05 08:22:57,1
2191,2696,,L84059,2018-10-04 16:53:01,1
2189,2693,,K82049,2018-10-04 13:50:49,1
2185,2689,,C84063,2018-10-04 13:26:14,1
2184,2688,,L84017,2018-10-04 13:25:54,1
2179,2684,,J83013,2018-10-04 13:08:39,1
2178,2683,,M86010,2018-10-04 12:42:13,1
2176,2681,,C84047,2018-10-04 10:16:20,1
2173,2678,,J81064,2018-10-04 09:46:54,1
2172,2677,,J82012,2018-10-04 09:46:40,1
2171,2676,,J82622,2018-10-04 09:46:14,1
2170,2675,06V,,2018-10-04 08:44:24,1
2168,2673,,M81082,2018-10-03 10:40:36,1
2166,2671,,P88009,2018-10-03 08:33:14,1
2165,2671,,P88607,2018-10-03 08:32:26,1
2164,2671,,P88017,2018-10-03 08:32:09,1
2163,2671,,P88044,2018-10-03 08:31:44,1
2162,2671,,P88019,2018-10-03 08:30:42,1
2161,2671,,P88625,2018-10-03 08:30:05,1
2158,2667,05R,,2018-10-02 18:00:05,1
2157,2652,,A81622,2018-10-02 13:57:32,1
2156,2666,,M84017,2018-10-02 09:49:37,1
2152,2652,,A81066,2018-10-02 07:51:02,1
2151,2652,,A81060,2018-10-01 14:06:03,1
2150,2664,,M87041,2018-10-01 07:17:22,1
2149,2663,,C88048,2018-09-30 17:37:08,1
2147,2661,,E82038,2018-09-28 05:52:35,1
2146,2660,,L83055,2018-09-27 21:15:42,1
2144,2658,02G,,2018-09-27 17:58:16,1
2142,2652,,A81631,2018-09-27 14:05:49,1
2141,2656,,P87024,2018-09-27 11:40:25,1
2139,2652,,A81046,2018-09-27 08:16:56,1
2137,2652,,A81612,2018-09-25 13:45:55,1
2135,2652,,A81066,2018-09-25 11:16:39,1
2134,2651,04K,,2018-09-25 11:00:04,1
2133,2650,,M83056,2018-09-24 20:23:07,1
2129,2646,,E85124,2018-09-21 13:32:07,1
2128,2645,,C88036,2018-09-21 10:12:45,1
2127,2645,,C88069,2018-09-21 10:11:16,1
2125,2643,,M85711,2018-09-20 15:05:41,1
2123,2640,,A85019,2018-09-20 09:36:22,1
2121,96,,F83007,2018-09-18 19:01:28,1
2119,2638,15C,,2018-09-18 10:52:26,1
2118,2632,,P81016,2018-09-18 09:17:51,1
2117,2632,,P81713,2018-09-18 09:17:33,1
2116,2632,,P81092,2018-09-18 09:17:16,1
2115,2632,,P81063,2018-09-18 09:16:56,1
2114,2632,,P81159,2018-09-18 09:16:39,1
2112,2632,,P81681,2018-09-18 09:15:56,1
2111,2632,,P81172,2018-09-18 09:15:41,1
2110,2632,,P81054,2018-09-18 09:15:20,1
2109,2632,,P81066,2018-09-18 09:14:52,1
2108,2632,,P81074,2018-09-18 09:14:21,1
2107,2632,,P81760,2018-09-18 09:14:02,1
2106,2632,,P81072,2018-09-18 09:12:45,1
2105,2632,,P81004,2018-09-18 09:12:27,1
2104,2632,,P81073,2018-09-18 09:12:02,1
2103,2632,,P81115,2018-09-18 09:11:12,1
2102,2632,,P81081,2018-09-18 09:10:30,1
2101,2632,,P81042,2018-09-18 09:08:58,1
2100,2632,,P81714,2018-09-17 21:24:56,1
2098,2636,,M85064,2018-09-17 14:47:14,1
2097,2635,,C88648,2018-09-17 14:44:44,1
2096,2634,10Q,,2018-09-17 14:18:40,1
2095,2633,08K,,2018-09-17 14:17:28,1
2094,2633,10Q,,2018-09-17 14:16:28,1
2093,2632,00R,,2018-09-17 09:17:12,1
2088,2627,,M85064,2018-09-14 09:54:30,1
2087,2626,08X,,2018-09-14 08:40:13,1
2086,2625,,J82628,2018-09-13 14:54:52,1
2084,2623,09N,,2018-09-13 07:03:53,1
2083,2622,,C86025,2018-09-12 14:15:11,1
2082,2621,,A83013,2018-09-12 13:29:57,1
2080,2620,08X,,2018-09-11 16:06:30,1
2079,2619,,C82042,2018-09-11 09:00:55,1
2077,2617,,L82024,2018-09-10 11:32:35,1
2075,2615,04E,,2018-09-10 07:44:57,1
2074,2614,,F83032,2018-09-08 20:47:00,1
2070,2611,,G85013,2018-09-07 03:59:46,1
2065,2605,,F84013,2018-09-05 11:48:03,1
2064,2605,,F84018,2018-09-05 11:46:48,1
2062,2603,,L81008,2018-09-04 17:11:25,1
2060,2601,09D,,2018-09-04 14:39:41,1
2057,2597,,P88007,2018-09-03 07:03:38,1
2054,2594,04E,,2018-08-31 14:22:15,1
2053,2594,,C84710,2018-08-31 14:16:51,1
2052,1892,,P84020,2018-08-31 12:49:06,1
2051,2593,,L81015,2018-08-31 11:43:41,1
2050,2591,,A81012,2018-08-31 09:31:51,1
2049,2591,,A81005,2018-08-31 09:31:43,1
2048,2591,,A81022,2018-08-31 09:31:31,1
2047,2591,,A81004,2018-08-31 09:31:18,1
2046,2591,,A81038,2018-08-31 09:31:05,1
2045,2591,,A81030,2018-08-31 09:29:57,1
2044,2591,,A81049,2018-08-31 09:29:24,1
2043,2500,,L83105,2018-08-31 07:09:55,1
2042,2500,,L83050,2018-08-31 07:09:25,1
2041,2500,,L83106,2018-08-31 07:06:25,1
2040,2590,,D81043,2018-08-31 06:17:26,1
2039,1506,,L81073,2018-08-30 19:17:45,1
2038,1506,,L81064,2018-08-30 19:16:30,1
2037,1506,,L81045,2018-08-30 19:15:17,1
2035,2589,04G,,2018-08-30 12:41:30,1
2031,2584,01D,,2018-08-24 13:42:25,1
2029,2582,,B86658,2018-08-23 14:36:29,1
2026,2579,04M,,2018-08-21 12:21:02,1
2025,2576,,N84627,2018-08-20 12:11:57,1
2024,2575,,M83056,2018-08-20 10:20:21,1
2023,2574,,F81067,2018-08-19 19:50:38,1
2022,2573,08V,,2018-08-19 08:46:58,1
2019,2569,10R,,2018-08-16 11:07:25,1
2018,2568,11N,,2018-08-15 15:54:41,1
2016,2566,,J82163,2018-08-15 12:08:27,1
2015,2565,,L81015,2018-08-15 09:32:36,1
2013,2563,,A83006,2018-08-14 16:45:11,1
2012,2562,,L81095,2018-08-14 12:05:27,1
2011,2561,,P87634,2018-08-14 07:19:33,1
2009,2559,,H84040,2018-08-13 13:53:36,1
2008,2558,15E,,2018-08-13 11:23:48,1
2004,2554,,D82007,2018-08-10 13:26:36,1
2002,2552,,L83607,2018-08-10 09:36:48,1
2001,2551,02T,,2018-08-10 07:38:32,1
1999,2549,,E83039,2018-08-09 17:28:38,1
1998,2548,,D83051,2018-08-09 17:07:04,1
1995,2544,,K83064,2018-08-08 12:29:02,1
1994,2544,,K83053,2018-08-08 12:27:24,1
1993,2544,,K83018,2018-08-08 12:23:05,1
1992,2544,,K83015,2018-08-08 12:19:24,1
1991,2543,00Q,,2018-08-08 08:27:13,1
1989,1194,,K82008,2018-08-06 19:41:32,1
1987,2537,02T,,2018-08-06 15:38:12,1
1986,1441,,A81038,2018-08-06 15:06:32,1
1985,1441,,A81020,2018-08-06 15:06:12,1
1984,1441,,A81023,2018-08-06 15:05:52,1
1983,1441,,A81030,2018-08-06 15:04:56,1
1981,2536,11N,,2018-08-06 13:28:16,1
1980,277,09X,,2018-08-06 12:53:10,1
1979,277,09H,,2018-08-06 12:52:36,1
1978,2535,,J82119,2018-08-06 11:43:17,1
1977,2535,,J82196,2018-08-06 11:42:59,1
1976,2535,,J82041,2018-08-06 11:42:35,1
1975,2535,,J82010,2018-08-06 11:41:58,1
1974,2535,,Y01281,2018-08-06 11:40:59,1
1973,2535,,J82134,2018-08-06 11:40:08,1
1972,2533,10L,,2018-08-06 09:53:23,1
1971,2531,,D82003,2018-08-02 15:26:45,1
1969,2530,01W,,2018-08-01 12:23:27,1
1968,2529,11J,,2018-08-01 10:33:29,1
1967,2528,,L83624,2018-08-01 09:49:51,1
1966,2527,,N81081,2018-08-01 08:18:51,1
1965,2526,,L81125,2018-08-01 08:17:37,1
1964,2526,,L81084,2018-08-01 08:16:36,1
1963,2524,,H82016,2018-07-31 12:28:21,1
1962,2524,09G,,2018-07-31 12:23:13,1
1960,2520,,L81061,2018-07-30 14:53:20,1
1959,2520,,L81089,2018-07-30 14:51:23,1
1958,2520,,L81091,2018-07-30 14:50:39,1
1956,2516,,G82060,2018-07-30 05:32:40,1
1954,2513,,E85054,2018-07-27 16:19:49,1
1953,2506,99P,,2018-07-27 10:00:47,1
1952,2504,,J82194,2018-07-27 07:08:48,1
1951,2502,,J82194,2018-07-26 23:27:44,1
1949,2500,,L83026,2018-07-26 13:19:52,1
1948,2498,,L83071,2018-07-26 12:12:34,1
1947,1570,,A83044,2018-07-26 11:10:56,1
1946,1570,,A83004,2018-07-26 11:09:44,1
1945,2346,07M,,2018-07-26 10:52:36,1
1944,2492,08X,,2018-07-26 10:46:31,1
1941,2243,99J,,2018-07-26 10:38:07,1
1940,2441,,K83043,2018-07-26 09:24:44,1
1939,785,,G82697,2018-07-26 08:49:19,1
1935,2483,00K,,2018-07-25 14:46:35,1
1934,2482,,L82058,2018-07-25 09:37:10,1
1933,2481,99K,,2018-07-25 08:45:38,1
1932,2480,,M91624,2018-07-25 07:04:48,1
1929,2477,01Y,,2018-07-24 12:18:59,1
1928,2476,,L83045,2018-07-24 06:46:22,1
1927,2475,,P81079,2018-07-23 16:09:47,1
1924,2470,09W,,2018-07-20 14:31:36,1
1923,2469,00P,,2018-07-20 14:00:24,1
1922,2464,03T,,2018-07-20 11:49:22,1
1919,2464,04D,,2018-07-20 11:47:49,1
1918,2463,,P81051,2018-07-20 11:47:24,1
1917,2461,,L81101,2018-07-20 10:29:18,1
1916,2459,11J,,2018-07-20 10:19:17,1
1915,2459,,J81030,2018-07-20 10:18:07,1
1910,1785,,M81075,2018-07-17 14:35:53,1
1909,2450,,M88026,2018-07-17 12:33:25,1
1908,2449,,P91035,2018-07-17 10:42:47,1
1905,2444,,Y02506,2018-07-16 14:31:20,1
1903,2441,06H,,2018-07-16 13:03:05,1
1902,2440,,G82088,2018-07-16 11:56:47,1
1897,2433,,L81086,2018-07-12 08:34:57,1
1896,2432,,C83063,2018-07-12 08:34:56,1
1895,2431,03N,,2018-07-11 15:26:49,1
1894,1785,05T,,2018-07-11 12:45:22,1
1891,2427,,E87002,2018-07-09 15:23:07,1
1890,2426,,P89013,2018-07-09 12:27:14,1
1889,2425,08G,,2018-07-09 11:39:19,1
1888,2424,,M89019,2018-07-09 09:15:26,1
1887,2423,,L81034,2018-07-08 16:15:40,1
1886,2419,,L81027,2018-07-06 12:27:32,1
1884,2417,03H,,2018-07-06 11:34:38,1
1883,2416,,B84004,2018-07-06 02:04:27,1
1882,2415,08D,,2018-07-05 16:30:48,1
1880,2413,,P88021,2018-07-05 15:04:42,1
1879,2411,,D83056,2018-07-05 14:44:35,1
1878,2410,,C84045,2018-07-05 14:37:47,1
1877,2409,,M81034,2018-07-05 09:31:50,1
1876,2408,,M81629,2018-07-04 21:27:15,1
1873,2402,,P91014,2018-07-03 15:39:39,1
1872,2402,,P91013,2018-07-03 15:38:28,1
1871,2401,,L81051,2018-07-03 15:16:02,1
1870,2400,,L81040,2018-07-03 14:18:36,1
1868,2397,,J83038,2018-07-03 09:03:34,1
1867,2395,,J82056,2018-07-02 14:43:11,1
1866,2394,,A81064,2018-07-02 09:06:19,1
1865,2393,,C88046,2018-07-01 19:41:29,1
1863,2391,,E84068,2018-06-29 16:14:41,1
1862,2389,,H82053,2018-06-28 21:35:46,1
1861,2388,,B81603,2018-06-28 21:14:25,1
1858,2384,,B82050,2018-06-28 11:06:51,1
1857,2383,,F85033,2018-06-27 11:59:52,1
1856,2382,01W,,2018-06-27 04:24:35,1
1854,2380,15E,,2018-06-26 20:38:30,1
1852,2378,,F83681,2018-06-26 12:02:43,1
1851,2375,,M83056,2018-06-26 10:27:17,1
1846,2370,,D83030,2018-06-25 21:41:11,1
1843,2367,,N81037,2018-06-24 11:59:07,1
1841,2365,,J82088,2018-06-23 11:20:06,1
1840,2364,,J82056,2018-06-22 17:28:52,1
1839,2363,09N,,2018-06-22 12:47:00,1
1838,2360,,M81003,2018-06-22 09:29:28,1
1837,2360,,M81016,2018-06-22 09:28:54,1
1836,2360,05F,,2018-06-22 09:28:13,1
1835,2358,,B83029,2018-06-21 23:27:08,1
1831,1741,11N,,2018-06-21 10:52:45,1
1830,2353,,B84013,2018-06-21 10:50:01,1
1826,2348,99C,,2018-06-20 14:37:24,1
1825,2346,,E83008,2018-06-20 11:46:47,1
1824,2344,08G,,2018-06-20 11:08:25,1
1822,2340,02M,,2018-06-20 08:21:56,1
1821,2339,02M,,2018-06-20 08:20:03,1
1817,584,,B86044,2018-06-19 16:47:43,1
1816,2034,,E85029,2018-06-19 16:06:46,1
1815,2328,,P83025,2018-06-19 15:43:24,1
1814,2326,06V,,2018-06-19 13:08:06,1
1813,598,,L81069,2018-06-19 11:32:57,1
1812,598,,L81644,2018-06-19 11:29:43,1
1811,598,,L81070,2018-06-19 11:25:32,1
1810,2322,07J,,2018-06-19 11:18:16,1
1809,180,,M85108,2018-06-19 10:52:14,1
1807,2319,15E,,2018-06-18 14:10:04,1
1802,2313,,E85127,2018-06-16 10:31:03,1
1801,2312,,A84002,2018-06-15 13:11:44,1
1800,2311,,E82067,2018-06-15 08:22:17,1
1797,237,02M,,2018-06-14 15:52:23,1
1796,2306,00R,,2018-06-14 13:09:26,1
1795,2306,02M,,2018-06-14 13:08:26,1
1794,2305,,C88015,2018-06-14 10:24:58,1
1793,2304,,H85069,2018-06-14 08:52:11,1
1792,2303,,F81097,2018-06-13 14:47:30,1
1791,2302,07J,,2018-06-13 10:38:51,1
1788,2299,11M,,2018-06-13 09:12:54,1
1787,2298,,J82605,2018-06-13 08:49:50,1
1785,1625,,P82025,2018-06-13 07:35:31,1
1784,2225,08A,,2018-06-13 07:29:53,1
1783,2294,,H84619,2018-06-12 21:27:46,1
1779,2287,,L84063,2018-06-11 14:46:06,1
1778,2286,,L81045,2018-06-11 14:39:56,1
1777,2284,,M81003,2018-06-11 13:02:49,1
1776,2284,,M81016,2018-06-11 13:02:00,1
1775,2283,,E85014,2018-06-09 16:37:22,1
1773,2280,,J82186,2018-06-09 11:31:40,1
1769,2274,05L,,2018-06-07 20:36:31,1
1767,2243,99J,,2018-06-07 09:56:53,1
1766,2243,10D,,2018-06-07 09:56:27,1
1765,2243,08T,,2018-06-07 09:56:08,1
1764,2243,10C,,2018-06-07 09:55:52,1
1763,2243,99H,,2018-06-07 09:55:35,1
1762,2243,10A,,2018-06-07 09:55:04,1
1761,2243,08P,,2018-06-07 09:54:15,1
1760,2243,09Y,,2018-06-07 09:53:44,1
1759,2243,09W,,2018-06-07 09:53:06,1
1758,2243,08L,,2018-06-07 09:52:32,1
1757,2243,08K,,2018-06-07 09:52:00,1
1756,2243,08J,,2018-06-07 09:50:10,1
1755,2243,09X,,2018-06-07 09:49:29,1
1754,2243,09P,,2018-06-07 09:49:02,1
1753,2243,99K,,2018-06-07 09:48:30,1
1752,2243,09N,,2018-06-07 09:47:55,1
1751,2243,08A,,2018-06-07 09:47:25,1
1750,2243,09L,,2018-06-07 09:46:42,1
1749,2243,07V,,2018-06-07 09:45:19,1
1748,2243,09H,,2018-06-07 09:44:55,1
1747,2243,09G,,2018-06-07 09:44:15,1
1746,2243,09D,,2018-06-07 09:43:33,1
1745,2243,09E,,2018-06-07 09:43:04,1
1744,2243,07N,,2018-06-07 09:41:35,1
1743,2243,07Q,,2018-06-07 09:41:08,1
1742,2243,09C,,2018-06-07 09:40:22,1
1741,2242,99P,,2018-06-07 09:25:01,1
1740,2241,,E87768,2018-06-07 08:27:35,1
1738,2235,,F84096,2018-06-06 08:52:58,1
1736,2232,03R,,2018-06-04 14:56:07,1
1732,2227,,P85005,2018-06-03 17:50:13,1
1731,2227,00Y,,2018-06-03 17:40:29,1
1730,2226,01G,,2018-06-01 09:11:03,1
1729,2225,08H,,2018-05-31 19:18:44,1
1723,2214,,N82009,2018-05-29 18:17:36,1
1722,2213,,J83038,2018-05-29 14:06:42,1
1721,2212,,J83038,2018-05-29 13:19:46,1
1715,2202,08H,,2018-05-25 11:02:25,1
1714,2202,,F83039,2018-05-25 10:59:30,1
1713,2202,,F83686,2018-05-25 10:58:59,1
1710,2199,,L84068,2018-05-24 15:34:26,1
1709,2198,11J,,2018-05-24 14:26:51,1
1659,2109,,C88051,2018-05-10 09:38:16,1
1656,2104,,M81094,2018-05-09 13:32:18,1
1651,2093,,K81034,2018-05-08 16:23:21,1
1648,2090,,F85697,2018-05-08 14:01:47,1
1645,2086,,K84047,2018-05-08 07:37:13,1
1642,2082,06V,,2018-05-04 14:24:14,1
1641,2080,,L85012,2018-05-04 09:51:26,1
1640,2079,11X,,2018-05-04 09:50:27,1
1637,431,,F86040,2018-05-03 14:05:28,1
1636,2074,,P81010,2018-05-03 08:50:27,1
1635,2070,,J82097,2018-05-02 07:16:53,1
1634,2069,09J,,2018-05-01 18:41:25,1
1633,2068,,L83111,2018-05-01 15:41:48,1
1632,1996,,M92649,2018-05-01 10:57:35,1
1631,1996,,M92042,2018-05-01 10:57:06,1
1630,1996,,M92007,2018-05-01 10:56:38,1
1629,1996,,M92014,2018-05-01 10:56:03,1
1628,1996,,M92011,2018-05-01 10:55:25,1
1627,2061,,L84054,2018-05-01 09:22:13,1
1626,2059,,L81028,2018-05-01 07:18:15,1
1625,2058,09L,,2018-04-30 15:02:17,1
1624,2056,04L,,2018-04-30 13:41:28,1
1623,2056,,Y00026,2018-04-30 13:41:06,1
1621,2051,,K83032,2018-04-28 22:14:32,1
1618,2045,,A86037,2018-04-27 13:02:56,1
1617,2004,,L83624,2018-04-27 11:01:38,1
1616,2043,,F81076,2018-04-27 10:22:00,1
1615,2042,01X,,2018-04-27 10:11:30,1
1614,2041,15C,,2018-04-26 17:13:37,1
1613,2040,,C83614,2018-04-26 17:07:40,1
1612,2039,,L81094,2018-04-26 16:07:21,1
1609,2034,08C,,2018-04-26 09:50:36,1
1608,2034,,E85029,2018-04-26 09:49:09,1
1607,2034,15E,,2018-04-26 09:47:14,1
1606,2033,14Y,,2018-04-26 08:05:19,1
1605,2032,,F83019,2018-04-26 07:59:58,1
1603,714,,M91619,2018-04-25 10:18:33,1
1602,714,,Y00228,2018-04-25 10:10:17,1
1599,2025,09N,,2018-04-25 08:46:42,1
1598,2023,15E,,2018-04-24 20:35:49,1
1585,2009,,F83010,2018-04-24 14:25:39,1
1584,2008,,L84012,2018-04-24 13:34:28,1
1583,2004,,L83651,2018-04-24 10:08:03,1
1582,2004,,L83624,2018-04-24 10:06:02,1
1581,2004,,L83646,2018-04-24 09:59:25,1
1580,2004,,L83048,2018-04-24 09:58:02,1
1579,2003,06A,,2018-04-24 09:02:46,1
1577,2001,,B82033,2018-04-23 21:22:48,1
1574,1997,,K83036,2018-04-23 13:33:11,1
1573,1996,06A,,2018-04-23 13:32:50,1
1572,1892,,P91615,2018-04-23 13:04:37,1
1571,1892,,P91619,2018-04-23 13:03:03,1
1570,1992,,L84084,2018-04-23 12:59:48,1
1569,1991,06A,,2018-04-23 12:41:10,1
1568,1990,,F84062,2018-04-23 12:07:39,1
1566,1634,06M,,2018-04-23 10:16:17,1
1565,1987,,E81633,2018-04-23 09:19:14,1
1564,180,,M85108,2018-04-23 08:48:31,1
